Ticker,Year,Operating Cash Flow Growth % YOY,Free Cash Flow Growth % YOY,Free Cash Flow/Sales %,Free Cash Flow/Net Income,Free Cash Flow/Share
CHTR,2015,0.0,2.1988,0.0561,-2.02,5.52
CHTR,2016,2.4086,5.0676,0.1144,0.94,8.5
CHTR,2017,0.4866,0.2332,0.0984,0.41,17.0
CHTR,2018,-0.0156,-0.4693,0.0498,1.77,9.11
CHTR,2019,-0.0016,1.1215,0.1007,2.76,17.27
CHTR,2020,0.2395,0.5343,0.147,2.19,30.8
CHTR,2021,0.1152,0.2283,0.168,1.87,42.67
CHTR,2022,-0.0809,-0.2973,0.113,1.21,42.51
CHTR,2023,-0.033,-0.4281,0.0639,0.77,23.26
CHTR,2024,-0.0002,-0.0943,0.0574,0.62,26.81
CMCSA,2015,0.1082,0.0602,0.1196,1.09,1.78
CMCSA,2016,0.0246,-0.055,0.1047,0.97,1.56
CMCSA,2017,0.1124,0.2004,0.1196,0.44,2.09
CMCSA,2018,0.1352,0.2456,0.1332,1.07,2.73
CMCSA,2019,0.0576,0.0541,0.1218,1.02,2.82
CMCSA,2020,-0.0374,-0.0125,0.1265,1.24,3.02
CMCSA,2021,0.1782,0.3042,0.1468,1.21,3.18
CMCSA,2022,-0.0938,-0.26,0.1041,2.35,3.35
CMCSA,2023,0.0791,0.0249,0.1066,0.84,2.99
CMCSA,2024,-0.0291,-0.0323,0.1014,0.77,2.78
T,2015,0.1449,0.6434,0.1135,1.25,2.72
T,2016,0.0965,0.07,0.1088,1.37,2.78
T,2017,-0.0049,0.0379,0.1153,0.63,2.82
T,2018,0.1137,0.2345,0.1338,1.18,3.16
T,2019,0.1162,0.2797,0.1613,2.1,3.96
T,2020,-0.1138,-0.0608,0.1598,-5.3,3.89
T,2021,-0.0272,-0.0738,0.1506,1.27,3.57
T,2022,-0.2368,-0.5125,0.1027,-1.45,1.8
T,2023,0.1965,0.6505,0.1671,1.42,2.69
T,2024,0.0119,-0.0955,0.1513,1.69,2.81
TMUS,2015,0.3058,,-0.0388,-1.7,-3.05
TMUS,2016,0.1332,,-0.0681,-1.74,-2.47
TMUS,2017,0.2978,,-0.0764,-0.68,-4.53
TMUS,2018,-0.5103,,-0.0408,-0.61,2.96
TMUS,2019,0.7502,,-0.0119,-0.15,-1.24
TMUS,2020,0.2661,,-0.0545,-1.22,-2.47
TMUS,2021,0.6108,,-0.097,-2.57,-6.9
TMUS,2022,0.2058,,-0.0065,-0.2,-1.13
TMUS,2023,0.106,,0.0986,0.93,5.12
TMUS,2024,0.2012,0.2883,0.1226,0.88,8.41
VZ,2015,0.2709,-0.1431,0.0852,0.63,2.18
VZ,2016,-0.4165,-0.5432,0.0407,0.39,2.68
VZ,2017,0.114,0.4594,0.0593,0.25,1.14
VZ,2018,0.357,1.1742,0.1242,1.05,3.8
VZ,2019,0.041,0.0404,0.1282,0.88,4.22
VZ,2020,0.1685,0.2686,0.1672,1.2,4.61
VZ,2021,-0.0534,,-0.2121,-1.28,-5.51
VZ,2022,-0.0606,,0.076,0.49,2.59
VZ,2023,0.009,0.2414,0.0964,1.11,3.25
VZ,2024,-0.015,0.4655,0.1404,1.08,3.28
